Ищет работу на должность:,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы (месяц),Город,Готовность к переезду,Готовность к командировкам,Занятость_полная занятость,Занятость_частичная занятость,Занятость_проектная работа,Занятость_волонтерство,Занятость_стажировка,График_полный день,График_сменный график,График_гибкий график,График_удалённая работа,График_вахтовый метод,salary_value,salary_cur_name,salary_currency,date_x,date_y,exchange_rate,ЗП (руб)
Интернет-маркетолог,Интернет-магазин,Директор по маркетингу,2019-05-14,Не указано,высшее,М,32,79.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,200000.0,руб.,RUB,2019-05-14,,1.0,200000.0
Специалист(администратор) систем ДБО,Bell Integrator,Ведущий специалист,2019-04-21,Имеется собственный автомобиль,высшее,М,38,204.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,90000.0,руб.,RUB,2019-04-21,,1.0,90000.0
Программист С#,НИЦ CALS,Программист C#,2019-04-17,Не указано,высшее,М,22,17.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-04-17,,1.0,35000.0
Оператор,"ЗАО "" ТД"" ЦентрОбувь""",Заместитель директора магазина,2019-04-15,Не указано,среднее специальное,Ж,38,126.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,25000.0,руб.,RUB,2019-04-15,,1.0,25000.0
"Бригадир монтажников, прораб, начальник участка. Прокладка ВОЛС.",оао СКС,бригадир ВОЛС,2019-04-15,Не указано,неоконченное высшее,М,44,286.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-04-15,,1.0,100000.0
Руководитель проекта,ООО «НПО «Электрощит»,Заместитель генерального директора по капитальному строительству,2019-04-08,Имеется собственный автомобиль,высшее,М,35,156.0,город-миллионник,False,True,True,False,True,False,False,True,True,True,False,False,100000.0,руб.,RUB,2019-04-08,,1.0,100000.0
Специалист по ИТ,ООО Сбербанк-Сервис,Ведущий инженер,2019-05-07,Не указано,высшее,М,37,135.0,другие,True,True,True,True,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-05-07,,1.0,50000.0
Мастер по ремонту оборудования,ООО Арес-коипани,мастер центра технического обслуживание,2019-05-07,Имеется собственный автомобиль,среднее специальное,М,55,318.0,Москва,False,True,True,False,False,False,False,False,False,False,False,False,40000.0,руб.,RUB,2019-05-07,,1.0,40000.0
"Руководитель проекта, Менеджер проектов","ООО ""МСТ Диджитал""",Менеджер проектов,2019-04-22,Имеется собственный автомобиль,высшее,М,28,55.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-22,,1.0,50000.0
Python Developer,Lamoda,Python-программист,2019-04-12,Не указано,высшее,М,30,105.0,Москва,True,False,True,False,False,False,False,True,False,True,False,False,170000.0,руб.,RUB,2019-04-12,,1.0,170000.0
Инженер по тестированию,Леруа Мерлен,Продавец-консультант,2019-04-26,Не указано,высшее,М,23,70.0,город-миллионник,False,True,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-04-26,,1.0,35000.0
Системный администратор,Mercury IT,Специалист технической службы,2019-04-26,Не указано,высшее,М,35,126.0,Москва,False,True,True,False,False,False,False,True,True,True,False,False,75000.0,руб.,RUB,2019-04-26,,1.0,75000.0
Руководитель ИТ-проектов,"Бетельгейзе Телеком, ООО",Генеральный директор,2019-05-07,Имеется собственный автомобиль,высшее,М,41,202.0,город-миллионник,True,True,True,True,False,False,False,True,True,True,False,True,150000.0,руб.,RUB,2019-05-07,,1.0,150000.0
Программист,Торговый Дом «Аскона»,Менеджер по продажам,2019-04-11,Не указано,высшее,Ж,25,23.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,25000.0,руб.,RUB,2019-04-11,,1.0,25000.0
менеджер по продажам,«ООО» РСП-СЕРВИС»,Руководитель отдела социальной рекламы:,2019-04-22,Не указано,высшее,М,32,159.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-04-22,,1.0,35000.0
Инженер-программист,"СИБИНТЕК, ООО ИК",Инженер-электроник,2019-04-22,Не указано,высшее,М,26,54.0,город-миллионник,False,True,True,False,False,False,False,True,True,True,False,False,40000.0,руб.,RUB,2019-04-22,,1.0,40000.0
Менеджер по продажам,"АО ""САДКО ОТЕЛЬ""","Бухгалтер по расчету с поставщика, банк-клиент",2019-05-07,Не указано,неоконченное высшее,Ж,30,141.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,60000.0,руб.,RUB,2019-05-07,,1.0,60000.0
Начальник отдела продаж/Руководитель отдела/руководитель направления,"ООО ""Компания ИТЛ""",Руководитель направления продаж SMB,2019-05-07,Не указано,неоконченное высшее,М,35,203.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-05-07,,1.0,100000.0
Электромеханик связи,Связьтранснефть,Инженер связи,2019-04-25,Не указано,высшее,Ж,38,223.0,город-миллионник,False,False,True,True,False,False,False,True,True,True,False,False,30000.0,руб.,RUB,2019-04-25,,1.0,30000.0
Системный администратор,ФИЛИАЛ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО УНИТАРНОГО ПРЕДПРИЯТИЯ,Старший системный администратор,2019-05-07,Не указано,высшее,М,59,321.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,60000.0,руб.,RUB,2019-05-07,,1.0,60000.0
Специалист технической поддержки,ФКУ ГБ МСЭ по Ярославской области,Специалист по защите информации,2019-04-14,Имеется собственный автомобиль,высшее,М,60,398.0,другие,False,True,False,True,False,False,False,True,True,True,False,False,20000.0,руб.,RUB,2019-04-14,,1.0,20000.0
Менеджер проектов,Molinos.Ru,Менеджер проектов,2019-04-19,Не указано,высшее,Ж,24,59.0,Санкт-Петербург,True,True,True,True,True,False,False,True,True,True,False,False,60000.0,руб.,RUB,2019-04-19,,1.0,60000.0
Помощник системного администратора,Индивидуальное предпринимательство / частная практика / фриланс,Мастер по ремонту компьютеров,2019-04-15,Не указано,среднее специальное,М,28,58.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,20000.0,руб.,RUB,2019-04-15,,1.0,20000.0
Технический специалист,Гарант-Западная Сибирь,Начальник отдела внедрения и сопровождения ПО,2019-04-18,Имеется собственный автомобиль,высшее,М,33,118.0,другие,False,False,True,True,True,False,False,True,True,True,False,False,30000.0,руб.,RUB,2019-04-18,,1.0,30000.0
менеджер проектов/менеджер продукта/операционный менеджер/bid менеджер,Вымпелком,"Старший менеджер операционных проектов (b2b, b2g, маркетинг)",2019-04-26,Не указано,высшее,Ж,36,175.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,200000.0,руб.,RUB,2019-04-26,,1.0,200000.0
Сервисный инженер,М.Видео,Инженер,2019-04-19,Не указано,среднее специальное,Ж,26,78.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-19,,1.0,40000.0
Руководитель проекта,ООО ИК QBF,Руководитель проекта,2019-04-22,Не указано,высшее,М,29,100.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,150000.0,руб.,RUB,2019-04-22,,1.0,150000.0
Frontend developer,Автор24,Frontend-разработчик,2019-04-14,Не указано,неоконченное высшее,М,37,53.0,Санкт-Петербург,False,True,True,False,False,False,False,True,False,True,False,False,100000.0,руб.,RUB,2019-04-14,,1.0,100000.0
Электромонтер линейных сооружений связи и радиофикации,ПАО ДОРОГОБУЖ,Электромонтер линейных сооружений,2019-04-26,Не указано,высшее,М,34,172.0,другие,True,True,True,False,False,False,False,True,True,False,False,True,60000.0,руб.,RUB,2019-04-26,,1.0,60000.0
Инженер-программист,Фонд капитального ремонта общего имущества многоквартирных домов Московской области,Специалист службы технической поддержки,2019-04-18,Имеется собственный автомобиль,высшее,Ж,47,280.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,90000.0,руб.,RUB,2019-04-18,,1.0,90000.0
Руководитель проекта,Xerox,Руководитель центра,2019-04-22,Не указано,высшее,М,27,41.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-22,,1.0,80000.0
Руководитель проекта,Корпорация  Сибирское здоровье,Менеджер СМК,2019-05-07,Не указано,высшее,М,39,124.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-05-07,,1.0,70000.0
"Главный инженер, руководитель",Kyivstar,Руководитель строительных проектов,2019-04-21,Не указано,высшее,М,30,130.0,другие,True,True,True,True,True,False,False,True,True,True,False,True,25000.0,грн.,,2019-04-21,2019-04-21,2.3846800000000004,59617.00000000001
Интернет-маркетолог,"Экспо-Мир, ООО",Маркетолог-графический дизайнер,2019-04-27,Не указано,высшее,М,22,26.0,Москва,False,False,True,False,False,False,True,True,False,True,False,False,40000.0,руб.,RUB,2019-04-27,,1.0,40000.0
"Инженер 1С, Консультант 1С",Индивидуальное предпринимательство / частная практика / фриланс,Инженер 1С,2019-02-20,Не указано,высшее,Ж,39,191.0,Москва,False,False,False,True,True,False,False,False,False,True,False,False,50000.0,руб.,RUB,2019-02-20,,1.0,50000.0
Специалист по IT,Тоо Афдан 2,Инженер-геодезист,2019-04-25,Не указано,среднее специальное,М,26,49.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-04-25,,1.0,30000.0
3D-дизайнер,"Lorena, Компания",Дизайнер,2019-04-20,Не указано,неоконченное высшее,М,32,128.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-20,,1.0,40000.0
"Android Developer (Java, Kotlin)",Индивидуальное предпринимательство / частная практика / фриланс,Android Developer,2019-04-26,Не указано,высшее,Ж,34,8.0,Санкт-Петербург,True,True,True,True,True,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-26,,1.0,40000.0
Инженер-системотехник,"Газпром нефть, ПАО ООО «ИТСК»",Технический специалист,2019-05-13,Имеется собственный автомобиль,высшее,М,32,97.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,45000.0,руб.,RUB,2019-05-13,,1.0,45000.0
Руководитель IT-подразделения,Транспортная компания,Специалист ИТ,2019-04-17,Не указано,высшее,М,53,408.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-17,,1.0,80000.0
Системный администратор,ООО ФорМакс,Специалист службы технической поддержки,2019-04-14,Не указано,высшее,М,28,60.0,Москва,False,False,True,True,True,False,False,False,True,True,False,False,60000.0,руб.,RUB,2019-04-14,,1.0,60000.0
Руководитель проектов,"ООО ""Феникс""",Ведущий юрисконсульт,2019-05-07,Не указано,высшее,Ж,31,125.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,120000.0,руб.,RUB,2019-05-07,,1.0,120000.0
программист 1с стажер,ООО Айтон,Сервисный инженер 1С,2019-04-09,Не указано,высшее,М,40,178.0,другие,True,False,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-04-09,,1.0,70000.0
Infrastructure Solutions Designer,"MICROSOFT - Sydney, Australia - professional services (contract)",Senior Cloud Consultant/Cloud Engineer - professional services,2019-04-26,Не указано,высшее,М,38,214.0,Москва,True,True,True,False,True,False,False,True,False,False,False,False,160000.0,руб.,RUB,2019-04-26,,1.0,160000.0
Системный архитектор / начальник отдела,"ООО ""Ай-Теко Внедренческий центр""",Заместитель руководителя отдела инфраструктурного программного обеспечения,2019-04-26,Не указано,неоконченное высшее,М,35,130.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,200000.0,руб.,RUB,2019-04-26,,1.0,200000.0
Программист,Разовые договорные работы,программист,2018-11-12,Не указано,высшее,М,59,122.0,Москва,False,True,True,True,True,False,False,True,False,True,False,False,60000.0,руб.,RUB,2018-11-12,,1.0,60000.0
Администратор БД Oracle,"ГККП ""Колледж №21""",Программист,2019-04-25,Не указано,высшее,М,35,222.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,260000.0,KZT,KZT,2019-04-25,2019-04-25,0.168799,43887.74
Руководитель проектов,"Санкт-Петербургский информационно-аналитический центр (СПб ГУП ""СПб ИАЦ"")",руководитель проектов управления автоматизации государственных услуг и функций,2019-05-07,Не указано,высшее,М,38,177.0,Санкт-Петербург,True,True,True,False,False,False,False,True,False,False,False,False,140000.0,руб.,RUB,2019-05-07,,1.0,140000.0
ИТ-специалист,Art вижен,Технический дизайнер,2019-04-26,Имеется собственный автомобиль,высшее,М,33,146.0,другие,False,False,True,False,False,False,False,True,True,False,False,False,100000.0,KZT,KZT,2019-04-26,2019-04-26,0.170151,17015.1
Руководитель проектов,ADV.Systems,Генеральный директор,2019-05-07,Не указано,неоконченное высшее,М,26,92.0,Москва,False,True,True,False,False,False,False,True,False,True,False,False,110000.0,руб.,RUB,2019-05-07,,1.0,110000.0
Системный администратор,TBN Holding,Старший системный администратор,2019-04-26,Не указано,высшее,М,46,333.0,другие,True,True,True,True,False,False,False,True,True,True,False,True,80000.0,руб.,RUB,2019-04-26,,1.0,80000.0
Системный администратор,Колл центр,Системный администратор,2019-04-26,Имеется собственный автомобиль,среднее специальное,М,27,15.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,20000.0,руб.,RUB,2019-04-26,,1.0,20000.0
Руководитель проектов,"ООО ""АНТ-Сервис""",Руководитель проектов,2019-05-07,Не указано,высшее,М,43,186.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,250000.0,руб.,RUB,2019-05-07,,1.0,250000.0
Программист С#,"ХимСофт, ООО",Программист С#,2019-04-25,Не указано,высшее,М,22,8.0,другие,True,False,True,True,False,False,False,True,False,True,False,False,50000.0,руб.,RUB,2019-04-25,,1.0,50000.0
"Ведущий специалист-консультант 1С, специалист-консультант 1С",ООО Индекс Успеха,Начальник отдела разработки ПО,2019-05-07,Не указано,среднее специальное,М,41,72.0,город-миллионник,False,True,True,True,True,False,False,True,True,True,False,False,50000.0,руб.,RUB,2019-05-07,,1.0,50000.0
Эксперт Linux|SS7|VoIP,Нокиа Солюшнз Энд Нетворкс,Ведущий инженер,2019-04-25,Не указано,неоконченное высшее,М,30,98.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,130000.0,руб.,RUB,2019-04-25,,1.0,130000.0
Ведущий инженер,"Цифрал-сервис, Поволжье",Монтажник,2019-04-19,Не указано,высшее,М,33,93.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-04-19,,1.0,35000.0
Аналитик,ТОО «МФО Finlab»,Универсальный  Андеррайтер,2019-04-22,Не указано,высшее,Ж,31,99.0,другие,True,True,True,True,False,False,False,True,True,True,False,False,150000.0,KZT,KZT,2019-04-22,2019-04-22,0.16868,25302.0
Консультант SAP GRC,Северсталь,Консультант GRC,2019-04-08,Имеется собственный автомобиль,высшее,М,29,94.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,200000.0,руб.,RUB,2019-04-08,,1.0,200000.0
Системный администратор,Авто-Альянс,Системный администратор,2019-05-07,Не указано,неоконченное высшее,М,32,79.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,55000.0,руб.,RUB,2019-05-07,,1.0,55000.0
Инженер связи,ООО ЕСС А-айсберг,Инженер связи,2019-05-07,Имеется собственный автомобиль,высшее,М,38,173.0,Москва,True,True,True,True,False,False,False,True,False,False,False,False,130000.0,руб.,RUB,2019-05-07,,1.0,130000.0
Техник-электрик,ООО Лифт,техник,2019-05-07,Не указано,среднее специальное,М,51,285.0,другие,False,False,True,False,False,False,False,True,True,True,False,False,25000.0,руб.,RUB,2019-05-07,,1.0,25000.0
Технический писатель,"АО ""СвердНИИхиммаш""",Инженер-конструктор 1-й категории,2019-05-07,Не указано,высшее,М,38,191.0,город-миллионник,False,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-05-07,,1.0,70000.0
Специалист по анализу данных,"ООО ""Партнер""",Специалист ИТ (нештатный),2019-04-09,Не указано,высшее,М,41,227.0,Москва,False,True,True,False,True,False,False,True,False,True,False,False,150000.0,руб.,RUB,2019-04-09,,1.0,150000.0
Оператор,Деловые Линии,Оператор на телефоне,2019-04-05,Не указано,высшее,Ж,24,2.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,27000.0,руб.,RUB,2019-04-05,,1.0,27000.0
Помощник системного администратора,НПФ РОИ,Ведущий инженер,2019-04-26,Не указано,высшее,М,38,204.0,другие,False,False,True,True,False,False,False,True,False,True,False,False,50000.0,руб.,RUB,2019-04-26,,1.0,50000.0
Бизнес-аналитик,АльфаСтрахование,Аналитик бизнес-процессов. Product owner,2019-04-22,Не указано,высшее,Ж,23,32.0,Москва,False,True,True,False,True,False,False,True,False,True,False,False,80000.0,руб.,RUB,2019-04-22,,1.0,80000.0
IT,"ООО ""ТИС""",Системный администратор,2019-03-06,Не указано,среднее специальное,М,28,69.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-03-06,,1.0,100000.0
инженер связи,Войска Национальной Гвардии РФ,Инженер связи,2019-04-19,Не указано,высшее,М,29,131.0,город-миллионник,False,True,True,False,False,False,False,True,True,False,False,False,50000.0,руб.,RUB,2019-04-19,,1.0,50000.0
Начинающий программист C#,Московский институт электронной техники,Инженер,2019-05-07,Не указано,высшее,М,25,45.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-05-07,,1.0,30000.0
Ведущий инженер,"ООО ""УРСА Евразия""",Инженер,2019-05-07,Имеется собственный автомобиль,высшее,М,37,200.0,Москва,True,True,True,True,True,False,False,True,True,True,False,False,98000.0,руб.,RUB,2019-05-07,,1.0,98000.0
Системный администратор,Meeting Point,Системный администратор,2019-04-25,Не указано,высшее,М,33,73.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-25,,1.0,80000.0
Product manager,"Цезарь Сателлит, Москва",Руководитель проектов/Product manager,2019-04-22,Не указано,неоконченное высшее,М,31,94.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,250000.0,руб.,RUB,2019-04-22,,1.0,250000.0
"Инженер сервисного центра, Тестировщик, Системный администратор, Помощник системного администратора","ООО ""Лес-Проект""",Инженер,2019-05-07,Имеется собственный автомобиль,высшее,М,34,146.0,другие,True,True,True,True,False,False,True,True,True,True,False,False,40000.0,руб.,RUB,2019-05-07,,1.0,40000.0
Главный инженер программист,"AsiaCredit Bank, АО",Главный специалист отдела автоматизации отчетности,2019-04-26,Не указано,высшее,Ж,31,100.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,300000.0,KZT,KZT,2019-04-26,2019-04-26,0.170151,51045.299999999996
Руководитель проекта,"ООО ""Хинко""","Ведущий инженер, Главный инженер проектов комплексных систем безопасности, СКС и ЛВС",2019-04-27,Не указано,высшее,М,47,290.0,Москва,False,True,True,True,True,False,False,True,False,False,False,False,130000.0,руб.,RUB,2019-04-27,,1.0,130000.0
Оператор связи Почта России,За Грош,Продавец-кассир,2019-04-18,Не указано,среднее специальное,Ж,49,269.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,17000.0,руб.,RUB,2019-04-18,,1.0,17000.0
Senior Full-stack PHP/Node.js разработчик,Мобильные ТелеСистемы (МТС),Ведущий архитектор,2019-04-25,Не указано,высшее,М,32,143.0,город-миллионник,False,True,True,False,False,False,False,True,False,False,False,False,210000.0,руб.,RUB,2019-04-25,,1.0,210000.0
Помощник системного администратора,ООО «ПК Аквариус»,Помощник оператора производства ПЭВМ,2019-05-08,Не указано,высшее,М,34,139.0,другие,False,True,True,True,True,False,False,True,True,True,False,False,20000.0,руб.,RUB,2019-05-08,,1.0,20000.0
Продукт Менеджер,"ООО ""Компания озон""",Менеджер,2019-05-07,Не указано,высшее,М,25,40.0,Москва,False,True,True,True,True,False,True,True,True,True,False,False,60000.0,руб.,RUB,2019-05-07,,1.0,60000.0
Руководитель отдела (проектов),Национальный исследовательский университет МИЭТ,начальник молодежного инновационного центра,2019-04-18,Имеется собственный автомобиль,высшее,М,27,69.0,Москва,True,True,True,True,True,False,False,True,False,True,False,False,120000.0,руб.,RUB,2019-04-18,,1.0,120000.0
Системный аналитик,"ООО ""Ремтурбо""",Программист,2019-04-22,Имеется собственный автомобиль,высшее,М,24,45.0,Санкт-Петербург,False,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-04-22,,1.0,70000.0
Системный администратор,ГБУЗ СК КСПК «Сангвис»,Системный администратор,2019-04-09,Имеется собственный автомобиль,высшее,М,38,195.0,другие,False,True,True,True,False,False,False,True,True,False,False,False,50000.0,руб.,RUB,2019-04-09,,1.0,50000.0
Инженер связи,27 цнии,Старший научный сотрудник,2019-05-10,Имеется собственный автомобиль,высшее,М,52,136.0,другие,True,False,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-05-10,,1.0,35000.0
Ведущий специалист-руководитель,Ростелеком,Ведущий специалист,2019-04-10,Не указано,высшее,М,37,256.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-10,,1.0,50000.0
Начальник отдела строительства волс Копия,МегаФон,"Инженер по строительству БС, АМС, КСЭ, ВОЛС",2019-05-14,Имеется собственный автомобиль,высшее,М,39,150.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,60000.0,руб.,RUB,2019-05-14,,1.0,60000.0
Операционист,Альфа-Банк (Россия),Специалист по продажам,2019-04-25,Не указано,высшее,Ж,22,6.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,15000.0,руб.,RUB,2019-04-25,,1.0,15000.0
"Инженер технической поддержки, Системный администратор,начальник отдела","СИБИНТЕК, ООО ИК",Старший инженер,2019-04-14,Имеется собственный автомобиль,высшее,М,30,129.0,другие,True,True,True,True,True,False,False,True,True,True,False,True,50000.0,руб.,RUB,2019-04-14,,1.0,50000.0
Региональный менеджер по продажам,"ООО ""Гербалайф Интернэшнл РС"" (штатный сотрудник)",Региональный координатор по развитию бизнеса,2019-05-07,Не указано,высшее,М,32,144.0,Санкт-Петербург,True,True,True,True,False,False,False,True,True,True,False,True,120000.0,руб.,RUB,2019-05-07,,1.0,120000.0
Системный администратор,Г-К Реклама в дом,Системный администратор,2019-04-26,Не указано,высшее,М,38,205.0,Москва,False,True,True,False,False,False,False,True,True,True,False,True,60000.0,руб.,RUB,2019-04-26,,1.0,60000.0
Менеджер проекта,Группа компаний Пиком (дистрибьютор косметических брендов),Менеджер проекта,2019-04-26,Не указано,высшее,Ж,43,217.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-04-26,,1.0,100000.0
Инженер технической поддержки,"АО МОДЦ АвтоДорПроект,",Инженер 3 категории,2019-04-18,Не указано,высшее,М,39,94.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-18,,1.0,40000.0
Руководитель проекта/направления (team leader)/Ведущий программист,Бюджетные и Финансовые Технологии,Руководитель направления,2019-04-22,Не указано,высшее,М,43,216.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,150000.0,руб.,RUB,2019-04-22,,1.0,150000.0
Программист Django,Северский ПНИ,Программист,2019-04-09,Не указано,высшее,М,46,156.0,другие,False,False,True,True,False,False,False,True,True,True,False,False,30000.0,руб.,RUB,2019-04-09,,1.0,30000.0
По договорённости,РГКП Актюбинский межрегиональный центр судебных экспертиз,Ведущий эксперт,2019-04-25,Имеется собственный автомобиль,высшее,М,30,128.0,другие,True,True,True,True,False,False,False,True,True,True,False,False,200000.0,KZT,KZT,2019-04-25,2019-04-25,0.168799,33759.8
инженер/ведущий специалист/Начальник отдела автоматизации,"КБ ""Рента-Банк"" ОАО",Инженер отдела системного администрирования и связи,2019-04-25,Не указано,высшее,М,44,226.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-04-25,,1.0,70000.0
HR менеджер,Деловые Линии,Специалист справочной службы,2019-05-07,Не указано,высшее,Ж,26,29.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,25000.0,руб.,RUB,2019-05-07,,1.0,25000.0
"Системный администратор, инженер службы технической поддержки","GDC (ICL Services), проект Mercedes-Benz RUS",Инженер службы технической поддержки,2019-04-25,Не указано,высшее,М,23,37.0,Москва,True,False,True,False,False,False,False,True,False,False,False,False,75000.0,руб.,RUB,2019-04-25,,1.0,75000.0
Менеджер проектов,"ООО ""Интернет-Фрегат""",Менеджер проектов,2019-04-25,Имеется собственный автомобиль,высшее,М,24,33.0,другие,False,True,True,True,False,False,False,True,True,True,False,False,40000.0,руб.,RUB,2019-04-25,,1.0,40000.0
Начинающий специалист,IVA Agency,Web-разработчик,2019-04-08,Не указано,высшее,М,20,14.0,город-миллионник,False,True,False,True,True,False,True,False,True,True,False,False,20000.0,руб.,RUB,2019-04-08,,1.0,20000.0
Менеджер проекта,"ООО ""НПО Инженерные системы""",Менеджер проектов,2019-04-27,Не указано,высшее,М,52,307.0,другие,True,False,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-27,,1.0,50000.0
Системный администратор,"ООО ""Санаторий Солнечный""",Системный администратор,2019-04-21,Не указано,высшее,М,27,38.0,другие,False,True,True,True,True,False,False,True,True,False,False,False,25000.0,руб.,RUB,2019-04-21,,1.0,25000.0
Системный администратор,"ТОО "" TEK LED""",Системный администратор,2019-04-25,Не указано,высшее,М,28,75.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,300000.0,KZT,KZT,2019-04-25,2019-04-25,0.168799,50639.700000000004
Специалист по защите информации,"ООО ""ЦПФ""",Ведущий менеджер по продажам,2019-04-22,Имеется собственный автомобиль,высшее,М,29,83.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-22,,1.0,80000.0
Разработчик PL/SQL,"Газпромбанк, АО",главный инженер разработки Управления развития систем взаимодействия с клиентами и контрагентами,2019-04-25,Не указано,высшее,Ж,34,173.0,Санкт-Петербург,True,False,True,False,False,False,False,True,False,False,False,False,120000.0,руб.,RUB,2019-04-25,,1.0,120000.0
Инженер-программист,Сбербанк,Ведущий специалист,2019-04-22,Не указано,неоконченное высшее,М,25,68.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-22,,1.0,50000.0
it инженер,ЦРТ Сервис,Инженер,2019-04-27,Не указано,высшее,М,44,181.0,город-миллионник,False,True,True,False,False,False,False,True,True,False,False,False,50000.0,руб.,RUB,2019-04-27,,1.0,50000.0
Директор ИТ/ руководитель отдела разработки ПО,Группа компаний uNitech,Ведущий разработчик,2019-04-22,Имеется собственный автомобиль,высшее,М,34,198.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,90000.0,руб.,RUB,2019-04-22,,1.0,90000.0
Front-end Developer (JS/Vue.js/Nuxt.js),Klooway Technologies,Full-Stack Developer (Vue.js/Laravel),2019-05-14,Не указано,высшее,М,33,27.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,130000.0,руб.,RUB,2019-05-14,,1.0,130000.0
Системный администратор,"ООО ""ActiveGroup""",Ведущий системный администратор,2019-04-10,Не указано,высшее,М,34,122.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-04-10,,1.0,70000.0
Моделист,Почта России,Оператор связи,2019-04-07,Не указано,высшее,Ж,42,68.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,25000.0,руб.,RUB,2019-04-07,,1.0,25000.0
"Системный администратор, сервисный инженер.",ГК Прима,Ведущий системный администратор,2019-04-10,Не указано,высшее,М,24,74.0,другие,False,True,True,True,False,False,False,True,True,True,False,True,40000.0,руб.,RUB,2019-04-10,,1.0,40000.0
